Hanni,http://heyhanni.com,Hanni is a new 100% recyclable women's razor (designed by women for anyone who removes their body hair),seed stage,wellness beauty,,2019,SEED,3000000,USD,12000000-18000000,2021,12,,1,TRUE,,,n/a
JAN-PRO,http://jan-pro.com,Offers one-time and recurring cleaning services for businesses,late growth stage,real estate,,1991,GROWTH EQUITY VC,0,USD,,2021,12,Boathouse Capital;Webster Equity Partners,1,TRUE,,,"private_equity,venture_capital"
Optomi Professional Services,http://optomiservices.com,Optomi Professional Services is a human resources firm that provides information technology consulting and team augmentation,late growth stage,jobs recruitment,,2012,GROWTH EQUITY VC,0,USD,,2021,12,Friedman Fleischer & Lowe (FFL),1,TRUE,,,"private_equity,venture_capital"
PlanGap,http://plangap.com,,seed stage,fintech,insurance,2017,SERIES A,9400000,USD,37600000-56400000,2021,12,Cultivation Capital,1,TRUE,37600000-56400000,dec/2021,venture_capital
Deobiosciences,http://deobiosciences.com,"Early-stage, virtual life sciences company",seed stage,health,biotechnology,2005,SEED,790000,USD,15600000,2021,12,Netcapital,1,TRUE,15600000,dec/2021,corporate
Govgenie,http://govgenie.com,"Eamlessly manage relationships, discover opportunities, schedule appointments, and streamline workflows for efficient capture processes",early growth stage,enterprise software,,2020,SEED,250000,USD,1000000-1500000,2021,11,Newchip,1,TRUE,,,accelerator
Memik,https://memik.io,@Memikapp is social networking application that allows our users to combine dance with augmented reality,seed stage,dating,,2020,SEED,0,USD,,2021,11,,1,TRUE,,,n/a
ClickChefs,http://clickchefs.com,,early growth stage,,,2020,SEED,0,USD,,2021,11,FoodFuture Co,1,TRUE,,,accelerator
Newton Crouch,http://newtoncrouch.com,,early growth stage,,,1940,EARLY VC,2100000,USD,8400000-12600000,2021,11,,1,TRUE,,,n/a
Barometer,https://www.thebarometer.co/,,seed stage,,,,SEED,0,USD,,2021,11,Outlander VC;Reinforced Ventures;BDMI;Knoll Ventures;HearstLab;Brickyard,2,TRUE,,,n/a
CM Studios,http://cmstudios.shop,,early growth stage,,,2020,ANGEL,10000,USD,40000-60000,2021,11,ClearAngel,1,TRUE,,,corporate
CARE,http://care.org,,,,,,,0,USD,,2021,11,,1,FALSE,,,n/a
Scylla Technologies,https://encoreai.com,,seed stage,,,2014,EARLY VC,4000000,USD,16000000-24000000,2021,10,,2,TRUE,,,n/a
SaidThat,http://saidthat.com,The next big thing in recommendations,seed stage,travel,,2021,ANGEL,150000,USD,600000-900000,2021,10,,1,TRUE,,,n/a
Ninety,http://ninety.io,EOS Software That Lets You Harness the Power of EOS,late growth stage,enterprise software,,2016,SERIES A,0,USD,,2021,10,Insight Partners;Venture for America;Catalyst Investors;Blue Cloud Ventures,2,TRUE,200000000,nov/2023,"private_equity,venture_capital"
Jackson Medical,http://jackson-medical.com,GloShield is a reliable and intuitive award-winning solution that reduces the risk of fires and burns attributed to fiber-optic light cables,early growth stage,health,medical devices,,SEED,1190000,USD,4760000-7140000,2021,9,Georgia Research Alliance,1,TRUE,,,n/a
Stethx,http://stethxmicro.com/,,seed stage,,,2020,EARLY VC,0,USD,,2021,9,ATDC;Georgia Research Alliance,1,TRUE,,,non-profit
Park Bench Solutions,http://parkbenchsolutions.com,The industry's first SaaS Productivity solution for Cisco Broadworks,seed stage,enterprise software,,2012,SEED,1500000,USD,6000000-9000000,2021,9,Rev.io,2,TRUE,6000000-9000000,sep/2021,n/a
ProcessMiner,http://processminer.com,"Delivers SaaS-based predictive analytics, optimization and recommendations for complex manufacturing processes",early growth stage,energy,,2015,,0,USD,,2021,8,ATDC,1,TRUE,,,accelerator
Adravision,http://adra.ai,,seed stage,health,,2020,SEED,130000,USD,520000-780000,2021,8,Y Combinator;Cocoon Capital;Bronze Valley;Magnisign Pte Ltd,2,TRUE,400000-600000,feb/2024,accelerator
Invisors,http://invisors.com,Helps customers utilize their organizational data to make better-informed business decisions through the deployment of Workday's unified solution,late growth stage,enterprise software,,2016,,0,USD,,2021,8,WestView Capital Partners,1,TRUE,,,"private_equity,venture_capital"
YOKE: NIL through Community,http://yoketeam.com,YOKE is the premier company providing technology for athletes to build community and monetize their NIL,early growth stage,sports,,2020,SEED,2000000,USD,8000000-12000000,2021,7,TMV,1,TRUE,,,venture_capital
Ziscuit,http://ziscuit.shop,A grocery search engine that delivers instant savings to shoppers and valuable traffic to retailers,seed stage,food,food logistics & delivery,2019,,0,USD,,2021,7,Techstars;Innovation Depot;Techstars Boston;Techstars Stockholm;Techstars Paris;gener8tor,2,TRUE,,,n/a
Knightley,http://knightley.co,"A video-first community of founders, operators, and investors with the tools to make deals happen seamlessly",seed stage,fintech;media,financial management solutions,2020,,1500000,USD,,2021,7,,1,FALSE,,,n/a
Mirus,http://mirusmed.com,Focused on the design of innovative solutions for the treatment of spinal and orthopaedic degeneration and deformities,late growth stage,health,medical devices,2015,LATE VC,65000000,USD,260000000-390000000,2021,7,Mammoth Scientific,1,TRUE,260000000-390000000,jul/2021,venture_capital
Securends,http://securends.com,"An Identity Security software company born in cloud, offering modern Identity Governance and Administration (IGA) capabilities for On-Premise, Cloud and SaaS applications",late growth stage,security,cloud & infrastructure,2017,SERIES A,21000000,USD,84000000-126000000,2021,7,Elephant,1,TRUE,84000000-126000000,jul/2021,venture_capital
abetterrebuild.com.,http://abetterrebuild.com,,,sports,,,ANGEL,10000,USD,40000-60000,2021,6,Clearco,1,TRUE,,,corporate
HYPE,http://gethype.org,HYPE Scholar Journey & Video Testimonials,,,,2017,,0,USD,,2021,6,Google for Startups Accelerator,1,TRUE,,,accelerator
Itsimple,http://itsimple.io,Connects smart local governments with their communities,seed stage,event tech,,2017,,0,USD,,2021,6,Leading Cities,1,FALSE,,,non-profit
Coindex Capital,http://coindexcap.com,Providing ways for investors to gain exposure to the growing activity in crypto and decentralized finance (defi),seed stage,fintech,crypto and defi,2020,SEED,0,USD,,2021,6,,1,TRUE,,,n/a
Financial Aid Services,http://financialaidservices.org,"Provides consulting, processing, on-site staffing, and other customized services to assist colleges and universities",late growth stage,,,1991,GROWTH EQUITY VC,0,USD,,2021,6,Millpond Equity Partners,1,TRUE,,,"private_equity,venture_capital"
The Promise Homes Company,https://www.promisehomescompany.com/,Institutional-quality investment platform,early growth stage,fintech;real estate,wealth management;real estate services,2017,EARLY VC,0,USD,,2021,6,First Republic Bank,3,TRUE,,,corporate
Renewvia Energy,https://renewvia.com,Provides a complete range of solar energy solutions to clients around the globe,early growth stage,energy,clean energy,2009,SEED,1000000,USD,4000000-6000000,2021,6,SIMA Funds;Claritas Capital;Treehouse Development Finance,3,TRUE,4000000-6000000,jun/2021,venture_capital
Vower,http://vower.org,,seed stage,jobs recruitment,,2019,SEED,0,USD,,2021,5,,1,TRUE,,,n/a
Measurecare,http://measurecare.com,,seed stage,security,,2020,SEED,0,USD,,2021,5,Alchemist Accelerator,1,TRUE,,,accelerator
PuffCuff,https://thepuffcuff.com/,"PuffCuff LLC is a female-owned and certified minority business that was developed from a simple idea: Create a tool that not only makes it easy to achieve stylish looks without stressing your hair or causing pain but one that is sanitary, durable and affordable too",early growth stage,wellness beauty,,2013,,0,USD,,2021,5,Backed By ATL;1863 Fund,1,TRUE,,,accelerator
DataSeers,http://dataseers.ai,"DataSeers helps banks and payments companies with their compliance, reconciliation, fraud detection, and analytics with one AI-powered solution",late growth stage,fintech,financial management solutions,2017,,0,USD,,2021,5,Backed By ATL,1,FALSE,,,accelerator
Southeast Primary Care Partners,http://southeastpcp.com,"Join Southeast Medical Group for collaborative innovation, shared resources, and clinical independence",late growth stage,health,health platform,2020,,0,USD,,2021,4,Beecken Petty O'Keefe & Company,1,TRUE,,,"private_equity,venture_capital"
Correlate Health,http://correlatehealth.com,"A platform for healthcare providers, patients, and care teams to access and exchange clinical data",seed stage,health,health platform,2018,SEED,0,USD,,2021,4,,1,TRUE,,,n/a
Plant TalX,http://planttalx.com,"A 7-10 min showcase for thought leaders presenting ideas, green tech, and products for sustainability",,,,2021,SEED,0,USD,,2021,4,,1,,,,n/a
Tomestic,http://tomestic.com,Merges physical and digital worlds to create an immersive reading experience,seed stage,media;education,publishing,2019,SEED,0,USD,,2021,4,,1,TRUE,,,n/a
dot,http://dotcards.net,,early growth stage,home living,,2020,SEED,0,USD,,2021,3,,1,TRUE,,,n/a
Zoovie,http://zoovie.com,,seed stage,event tech,,2016,SEED,50000,USD,200000-300000,2021,3,,1,TRUE,,,n/a
quanti,http://quanti.llc,Helps organization to establish a strong Data Analytical Platform and make organization ready for the competitive analytical war,seed stage,enterprise software,,2021,SEED,250000,USD,1000000-1500000,2021,3,,1,TRUE,,,n/a
Breaker Nation,http://breakernation.com,A music-exclusive social network,seed stage,music;media,social media,2018,SEED,100000,USD,400000-600000,2021,3,,1,TRUE,,,n/a
Sercante,https://www.sercante.com,,late growth stage,enterprise software,,2017,,0,USD,,2021,3,Salesforce Ventures,1,TRUE,,,corporate_venture_fund
"Ane Swim, A William Pleshette Company",http://aneswim.com,Designed to protect hair and keep it dry during swimming,,wellness beauty,,,EARLY VC,50000,USD,200000-300000,2021,2,Comcast Sports Tech,1,TRUE,,,accelerator
Teamxiq,http://teamxiq.com,The patented smart device that replaces conventional ignitions on club car precedent/onward and Yamaha drive electric carts,seed stage,security;transportation,autonomous & sensor tech,2015,EARLY VC,50000,USD,200000-300000,2021,2,Comcast Sports Tech,1,TRUE,,,accelerator
FYBN Flip Your Business Now,http://fybn.app,Selling gas stations and convenience stores,,,,,SEED,100000,USD,400000-600000,2021,2,,1,TRUE,,,n/a
Thought-logic,https://thoughtlogic.com,Assists organizations to become more efficient in operations through successful large project implementations,late growth stage,enterprise software,,2014,GROWTH EQUITY VC,0,USD,,2021,2,,1,TRUE,,,n/a
SameTunes,http://sametunes.com,"Compare, share, and discover music cross-platform",seed stage,music;media,publishing;social media,2020,SEED,0,USD,,2021,2,,2,TRUE,,,n/a
Vxtra Health,http://vxtrahealth.com,"Health insurance companies have hijacked health care making it difficult for doctors and nurses to do what they do best, and nobody‰Ђ™s happy",early growth stage,health,health platform,2018,SEED,1650000,USD,6600000-9900000,2021,1,,1,TRUE,,,n/a
ZenVR,http://zenvrapp.com,"SaaS, research-proven meditation classroom experience on XR headsets",seed stage,education,,2020,SEED,4000,USD,16000-24000,2021,1,,2,TRUE,,,n/a
Drop,http://dropatl.com,A fleet operator of electric powered eco-friendly rickshaws that harness technology to connect riders to drivers for first and last mile / short distance commuting,seed stage,transportation,mobility,2020,SEED,0,USD,,2021,1,,1,TRUE,,,n/a
Legal Equalizer,https://www.legaleqapp.com,Multi-faceted app aimed at promoting positive police encounters through a more legally informed citizenry,seed stage,legal;security,public safety;legal information,2015,EARLY VC,0,USD,,2021,1,Techstars,1,TRUE,,,accelerator
Flip Electronics,http://flipelectronics.com,Helping other companies manage component obsolescence,late growth stage,semiconductors,,2015,GROWTH EQUITY VC,0,USD,,2021,1,Capital Southwest Corporation;O2 Investment Partners,1,TRUE,,,"private_equity,venture_capital"
Oscar W. Larson Company,http://larsonco.com,,late growth stage,energy,,,,0,USD,,2020,12,Trive Capital Holdings,1,TRUE,,,n/a
ParrotMob,http://parrotmob.com,A new mobile commerce platform that lets to collect 1-click payments and have interactive text conversations with customers,seed stage,fintech;media,payments;social media,2019,SEED,0,USD,,2020,12,Valor Ventures;Right Side Capital Management;Forum Ventures;Hustle Fund;Collide Capital,1,TRUE,,,venture_capital
ECredable.com,http://ecredable.com,Empowering the consumer or small business owner with the ability to add information to their credit files,early growth stage,fintech,payments,2009,EARLY VC,0,USD,,2020,12,MassChallenge,1,TRUE,,,n/a
Grit,http://grit.bet,Equitable funding platform for technical re-skilling powered by the community,seed stage,fintech;education,wealth management,2020,,0,USD,,2020,11,Techstars;Techstars Boston;Techstars Stockholm;Techstars Paris,1,TRUE,,,n/a
SpeedChain,https://speedchain.com,"Payments Optimization company that enables enterprises to utilize a single, integrated payments platform to deliver on the requirements of todayХs transactions",early growth stage,fintech;enterprise software,payments,2019,ANGEL,400000,USD,1600000-2400000,2020,10,,1,TRUE,,,n/a
DAM Coolers,http://damcoolers.com,Disrupts the sporting goods and outdoors industry,seed stage,travel;sports,sporting equipment,2016,SEED,130000,USD,520000-780000,2020,10,,1,TRUE,520000-780000,oct/2020,n/a
Pillowsheets,http://pillowsheets.com,,seed stage,wellness beauty,,2017,,0,USD,,2020,9,,1,FALSE,,,n/a
Pull Logic,https://pulllogic.com/,Increased profits and customer satisfaction through optimal product availability with Pull Logic's SaaS platform,early growth stage,marketing;enterprise software,crm & sales,2020,SEED,175000,USD,700000-1050000,2020,9,Silicon Road,1,TRUE,,,venture_capital
BESN.TV,http://besn.tv,Stay up to Date with everything in the Black eSports and Gaming World,seed stage,gaming,,2019,SEED,500000,USD,2000000-3000000,2020,8,,1,TRUE,,,n/a
Diversity Photos,https://diversityphotos.com,We provide images that represent an authentic portrayal of our global community. Images that connect with your audience and launch a genuine conversation!,seed stage,media,,2016,SEED,100000,USD,400000-600000,2020,8,Techstars;Techstars Berlin;Techstars Dubai;Techstars Boston;Techstars Berlin Accelerator;Techstars Stockholm;Techstars Paris,1,TRUE,,,n/a
Symtrain,https://symtrain.ai,Symtrain | Real job experience with work simulations - My WordPress Blog,early growth stage,education,,2018,,0,USD,,2020,8,Silicon Road;Carya Venture Partners,1,TRUE,,,n/a
Reveam (Formerly ScanTech Sciences),https://reveam.com/,,early growth stage,food,,2002,EARLY VC,8030000,USD,32119999-48179999,2020,8,Bay Point Advisors,2,TRUE,32119999-48179999,aug/2020,n/a
Vngle,http://vngle.com,Grassroots Reality News Coverage Across America,seed stage,media,publishing,2017,EARLY VC,0,USD,,2020,8,,2,TRUE,,,n/a
IVision,https://ivision.com,IT company that provides consulting and managed services for business,late growth stage,enterprise software,,2004,GROWTH EQUITY VC,0,USD,,2020,8,CIVC Partners;Maranon Capital,1,TRUE,,,"private_equity,venture_capital"
Heavy Sound Labs,http://heavysound.com,,seed stage,music,,,,0,USD,,2020,7,,1,FALSE,,,n/a
Ahoy Email,http://ahoyemail.com,,seed stage,marketing,,2016,SEED,1250000,USD,5000000-7500000,2020,6,,1,TRUE,,,n/a
MyTotem,http://mytotem.co,Artificial Intelligence (AI)-powered brand maker used to create beautiful designs,seed stage,media;marketing,content production;adtech,2017,EARLY VC,0,USD,,2020,6,,1,TRUE,,,n/a
Kloud-12,http://kloud-12.com,Kloud-12 A classroom video platform that's all about learning,early growth stage,education,,2016,SEED,756165,USD,3024660-4536990,2020,6,,1,TRUE,3024660-4536990,jun/2020,n/a
Nutrishus Brands,https://sugarreimagined.com/,"Rxsugar makes plant-based sugar and syrup that is keto certified, non-gmo project verified, and zero net carbs",seed stage,food,,2019,SEED,4000000,USD,16000000-24000000,2020,6,,1,TRUE,16000000-24000000,jun/2020,n/a
